[2026-02-12 00:12:13,950] [INFO] Encrypted file 'C:/Users/LENOVO/Downloads/9397fcbc5ff7473edd9cb1e25e50dc23.jpg' with AES-256
[2026-02-12 00:13:53,183] [INFO] Encrypted file 'C:/Users/LENOVO/Downloads/600c3fc4571ab32ecb59f767eebb55f8.jpg' with ChaCha20
[2026-02-16 08:23:03,090] [INFO] Encrypted file 'C:/Users/LENOVO/Downloads/with encryption.png' with ChaCha20
[2026-02-17 05:37:45,494] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpdfh4rltw.zip' with AES-256
[2026-02-17 05:38:16,741] [INFO] Started folder watcher on 'C:/Users/LENOVO/Downloads/table_tennis_day2'
[2026-02-17 05:38:19,398] [INFO] Stopped folder watcher
[2026-02-17 05:38:30,021] [INFO] Started folder watcher on 'C:/Users/LENOVO/Downloads/table_tennis_day2'
[2026-02-18 05:57:58,418] [INFO] Encrypted file 'C:/Users/LENOVO/Downloads/with encryption.png' with RSA hybrid
[2026-02-18 06:05:04,052] [INFO] Encrypted file 'src/main.py' with AES-256
[2026-02-18 06:05:04,052] [INFO] CLI encrypted 'src/main.py' → 'src/main.py.enc' using AES-256
[2026-02-18 06:05:09,237] [INFO] Decrypted file 'src/main.py.enc' with AES-256
[2026-02-18 06:05:09,237] [INFO] CLI decrypted 'src/main.py.enc' → 'src/main.py_decrypted' using AES-256
[2026-02-18 06:59:12,726] [WARNING] Integrity verification failed for 'C:\Users\LENOVO\AppData\Local\Temp\tmpcyw6e6dd\hash3.txt' (expected wrong, got ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad)
[2026-02-18 06:59:13,201] [INFO] Encrypted file 'rsa.txt' with RSA hybrid
[2026-02-18 06:59:13,223] [INFO] Decrypted file 'rsa.txt.enc' with RSA hybrid
[2026-02-18 06:59:16,295] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp1afx2gx_\plain.bin' with RSA hybrid
[2026-02-18 06:59:16,312] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp1afx2gx_\plain.bin.enc' with RSA hybrid
[2026-02-18 06:59:18,085] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpvlia64fv\plain2.txt' with RSA hybrid
[2026-02-18 06:59:18,103] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpvlia64fv\plain2.txt.enc' with RSA hybrid
[2026-02-18 06:59:53,813] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 06:59:54,015] [INFO] Decrypted file 'aes_test.txt.enc' with AES-256
[2026-02-18 06:59:54,200] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 06:59:54,397] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 06:59:54,622] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 06:59:54,850] [ERROR] Failed to decrypt 'aes_test.txt.enc' with AES-256 (authentication error)
[2026-02-18 06:59:55,077] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 06:59:55,315] [ERROR] Failed to decrypt 'chacha.txt.enc' with ChaCha20 (authentication error)
[2026-02-18 06:59:55,522] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 06:59:55,725] [INFO] Decrypted file 'chacha.txt.enc' with ChaCha20
[2026-02-18 06:59:55,909] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 06:59:56,113] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp7qqli8m7\plain.txt' with AES-256
[2026-02-18 06:59:56,318] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp7qqli8m7\plain.txt.enc' with AES-256
[2026-02-18 06:59:56,557] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp35acpcaa\plain.txt' with ChaCha20
[2026-02-18 06:59:56,792] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp35acpcaa\plain.txt.enc' with ChaCha20
[2026-02-18 06:59:57,043] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpu56tpt8b\plain.txt' with AES-256
[2026-02-18 06:59:57,267] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpu56tpt8b\plain.txt' with AES-256
[2026-02-18 06:59:57,545] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpza4_96bz\plain.txt' with AES-256
[2026-02-18 06:59:57,783] [ERROR] Failed to decrypt 'C:\Users\LENOVO\AppData\Local\Temp\tmpza4_96bz\plain.txt.enc' with AES-256 (authentication error)
[2026-02-18 06:59:57,788] [INFO] Started folder watcher on 'C:\Users\LENOVO\AppData\Local\Temp\tmpoma6btcr'
[2026-02-18 06:59:57,789] [INFO] Folder watcher detected new file 'C:\Users\LENOVO\AppData\Local\Temp\tmpoma6btcr\new_file.txt'
[2026-02-18 06:59:58,292] [INFO] Stopped folder watcher
[2026-02-18 06:59:58,292] [INFO] Stopped folder watcher
[2026-02-18 06:59:58,949] [WARNING] Integrity verification failed for 'C:\Users\LENOVO\AppData\Local\Temp\tmp1j9fa1cc\hash3.txt' (expected wrong, got ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad)
[2026-02-18 06:59:59,464] [INFO] Encrypted file 'rsa.txt' with RSA hybrid
[2026-02-18 06:59:59,487] [INFO] Decrypted file 'rsa.txt.enc' with RSA hybrid
[2026-02-18 12:45:01,368] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpg3jwj6co\plain.bin' with RSA hybrid
[2026-02-18 12:45:01,387] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpg3jwj6co\plain.bin.enc' with RSA hybrid
[2026-02-18 12:45:02,875] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp44rf38yu\plain2.txt' with RSA hybrid
[2026-02-18 12:45:02,906] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp44rf38yu\plain2.txt.enc' with RSA hybrid
[2026-02-18 12:45:55,280] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:45:55,495] [INFO] Decrypted file 'aes_test.txt.enc' with AES-256
[2026-02-18 12:45:55,702] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:45:55,912] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:45:56,094] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:45:56,295] [ERROR] Failed to decrypt 'aes_test.txt.enc' with AES-256 (authentication error)
[2026-02-18 12:45:56,479] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:45:56,692] [ERROR] Failed to decrypt 'chacha.txt.enc' with ChaCha20 (authentication error)
[2026-02-18 12:45:56,896] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:45:57,102] [INFO] Decrypted file 'chacha.txt.enc' with ChaCha20
[2026-02-18 12:45:57,291] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:45:57,475] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp1m2n5njp\plain.txt' with AES-256
[2026-02-18 12:45:57,707] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp1m2n5njp\plain.txt.enc' with AES-256
[2026-02-18 12:45:57,949] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp818jelrh\plain.txt' with ChaCha20
[2026-02-18 12:45:58,180] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp818jelrh\plain.txt.enc' with ChaCha20
[2026-02-18 12:45:58,407] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpmzaimh3q\plain.txt' with AES-256
[2026-02-18 12:45:58,628] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpmzaimh3q\plain.txt' with AES-256
[2026-02-18 12:45:58,886] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp0ctabj0t\plain.txt' with AES-256
